reporter_name,reporter_code,year,classification,classification_version,duty_scheme_code,duty_scheme_name,product_code,mtn_categories,simple_average,trade_weighted,duty_free_share
China,C156,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
China,C156,2016,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
China,C156,2011,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
China,C156,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
China,C156,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
China,C156,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
China,C156,2014,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
China,C156,2012,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
China,C156,2013,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
China,C156,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
China,C156,2015,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
China,C156,2017,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
China,C156,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
China,C156,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
China,C156,2010,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
India,C356,2010,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
India,C356,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
India,C356,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
India,C356,2013,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
India,C356,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
India,C356,2012,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
India,C356,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
India,C356,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
India,C356,2014,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
India,C356,2015,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
India,C356,2011,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
India,C356,2017,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
India,C356,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
India,C356,2016,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
India,C356,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
Japan,C392,2012,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
Japan,C392,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
Japan,C392,2014,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
Japan,C392,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
Japan,C392,2010,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
Japan,C392,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
Japan,C392,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
Japan,C392,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
Japan,C392,2016,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
Japan,C392,2011,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
Japan,C392,2015,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
Japan,C392,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
Japan,C392,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
Japan,C392,2017,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
Japan,C392,2013,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
"United States of America",C840,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
"United States of America",C840,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
"United States of America",C840,2017,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
"United States of America",C840,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
"United States of America",C840,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
"United States of America",C840,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
"United States of America",C840,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
"European Union",U918,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",UNSPECIFIED,"Unspecified products",,,
China,C156,2016,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",10.6246173469388,8.5530407376189,0.0495316964285714
China,C156,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",7.1303776683087,6.39784775982636,0.0444256704980843
China,C156,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",10.8421153846154,8.45288203499769,0.0439553846153846
China,C156,2011,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",10.8490740740741,8.60129213809816,0.0644174603174603
China,C156,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",7.1303776683087,6.40164522992679,0.0444256704980843
China,C156,2025,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",7.1303776683087,,0.0444256704980843
China,C156,2015,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",10.635193452381,8.32877988484729,0.0495316964285714
China,C156,2014,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",10.635193452381,8.56345825577223,0.0495316964285714
China,C156,2010,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",10.9006613756614,8.3942862599837,0.0617722222222222
China,C156,2012,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",10.635193452381,8.49021539420983,0.0495316964285714
China,C156,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",7.15190476190476,6.32757549725291,0.0439553846153846
China,C156,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",7.15190476190476,6.32985162533041,0.0439553846153846
China,C156,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",7.15190476190476,6.46911586394411,0.0439553846153846
China,C156,2013,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",10.635193452381,8.50911646680166,0.0495316964285714
China,C156,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",7.1303776683087,6.30741871548996,0.0444256704980843
China,C156,2017,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",10.8421153846154,8.36130498422803,0.0439553846153846
India,C356,2017,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",29.8841698841699,26.6896364378831,0.000641153846153846
India,C356,2014,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",29.8660714285714,28.9827695355114,0.000744196428571429
India,C356,2015,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",29.8660714285714,25.0034796092195,0.000744196428571429
India,C356,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",30,30,0
India,C356,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",30,30,0
India,C356,2011,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",29.8676012461059,28.373054324086,0
India,C356,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",30,30,0
India,C356,2012,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",29.8660714285714,27.6303460722783,0.000744196428571429
India,C356,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",32.8396962233169,31.843149483371,0.000638697318007663
India,C356,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",30,30,0
India,C356,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",30,30,0
India,C356,2010,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",29.6031746031746,27.9033045259346,0.00132301587301587
India,C356,2013,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",29.8660714285714,24.0048791950367,0.000744196428571429
India,C356,2016,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",29.8660714285714,23.4187553361862,0.000744196428571429
India,C356,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",29.9644225506294,29.4120386636056,0
Japan,C392,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",5.64329464979465,4.63722941747681,0.0293207692307692
Japan,C392,2017,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",5.64740179265179,4.60055780448107,0.0282311538461538
Japan,C392,2012,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",5.74274505256647,5.11845827755644,0.0317709821428571
Japan,C392,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",5.66250218371372,4.70421144002012,0.0297869230769231
Japan,C392,2013,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",5.74274505256647,5.06604254535077,0.0317709821428571
Japan,C392,2015,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",5.73576588589981,5.09589251839687,0.0319941964285714
Japan,C392,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",5.65043580671465,4.70437706478867,0.0288007692307692
Japan,C392,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",5.6681583056152,4.77239301018477,0.0296727969348659
Japan,C392,2014,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",5.7431068639577,5.04806927173906,0.0317709821428571
Japan,C392,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",5.65087170415055,4.68639383577697,0.0288007692307692
Japan,C392,2016,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",5.73824153525046,5.0971646046716,0.0316558035714286
Japan,C392,2010,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",5.45659285321566,4.59069732200461,0.0467690476190476
Japan,C392,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",5.6681583056152,4.69287991167683,0.0296727969348659
Japan,C392,2025,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",5.6681583056152,,0.0296727969348659
Japan,C392,2011,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",5.4556540746453,4.72064571223124,0.0467690476190476
Japan,C392,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",5.6681583056152,4.79277174974923,0.0296727969348659
"United States of America",C840,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",0.738685002736727,1.20619714096112,0.85079846743295
"United States of America",C840,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",0.732648199023199,1.28515654953178,0.850224615384615
"United States of America",C840,2014,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",0.751390128968254,1.24739011876516,0.846242857142857
"United States of America",C840,2016,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",0.75133060515873,1.20031616944054,0.846242857142857
"United States of America",C840,2017,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",0.73028373015873,1.24779462343413,0.850224615384615
"United States of America",C840,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",0.730128170041963,1.24472329208459,0.85079846743295
"United States of America",C840,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",0.743944902319902,1.35551409297386,0.850224615384615
"United States of America",C840,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",0.730016330891331,1.31036979915122,0.850224615384615
"United States of America",C840,2015,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",0.751866319444444,1.26042992428103,0.846242857142857
"United States of America",C840,2025,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",0.730128170041963,,0.85079846743295
"United States of America",C840,2012,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",0.750950077947846,1.4585011192734,0.846242857142857
"United States of America",C840,2010,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",0.947783761652809,1.3943467359945,0.81898253968254
"United States of America",C840,2013,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",0.751390128968254,1.39034620989808,0.846242857142857
"United States of America",C840,2011,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",0.954801902242378,1.3954485656377,0.81898253968254
"United States of America",C840,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",0.741877850757161,1.2914184200173,0.85079846743295
"United States of America",C840,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",0.728789224664225,1.49271505510841,0.850224615384615
"European Union",U918,2013,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",11.9865870612522,11.4953376359641,0.0821638392857143
"European Union",U918,2017,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",11.567046980797,10.5538634907538,0.074145
"European Union",U918,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",11.567046980797,10.529047078316,0.074145
"European Union",U918,2014,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",11.9664405411057,11.2954387166289,0.0821638392857143
"European Union",U918,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",11.5599956987457,10.4958696902393,0.0747861538461538
"European Union",U918,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",11.4968667241656,9.8883116794679,0.081523754789272
"European Union",U918,2011,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",10.6466421739636,11.1851727057761,0.14485873015873
"European Union",U918,2016,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",11.9657708982486,10.7585884379393,0.0821638392857143
"European Union",U918,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",11.4968667241656,9.74489848359151,0.081523754789272
"European Union",U918,2012,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",11.9937299183951,11.6335608601698,0.0821638392857143
"European Union",U918,2010,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",10.6466421739636,10.920895590615,0.14485873015873
"European Union",U918,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",11.4968667241656,9.76097678325437,0.081523754789272
"European Union",U918,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",11.5599956987457,10.5180475148231,0.0747861538461538
"European Union",U918,2015,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",11.9657708982486,11.2970928929683,0.0821638392857143
"European Union",U918,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",K,"Fish and fish products",11.4833931346431,10.0439138767374,0.0818373076923077
China,C156,2017,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",J,"Other agricultural products",10.8355341148577,10.1521774904421,0.121819863013699
China,C156,2010,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",J,"Other agricultural products",10.5354022570567,8.8612274787486,0.116990441176471
China,C156,2014,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",J,"Other agricultural products",10.7957325053419,9.1309735294716,0.123511805555556
China,C156,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",J,"Other agricultural products",10.5440893573547,10.4501292030565,0.120991156462585
China,C156,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",J,"Other agricultural products",10.577537131818,10.4301181911176,0.121819863013699
China,C156,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",J,"Other agricultural products",10.577537131818,10.2042057485801,0.121819863013699
China,C156,2011,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",J,"Other agricultural products",10.1583946415105,8.64655018890437,0.124605882352941
China,C156,2015,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",J,"Other agricultural products",10.7953505608974,9.00851458546498,0.123511805555556
China,C156,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",J,"Other agricultural products",10.8444321089869,10.3507513872354,0.121819863013699
China,C156,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",J,"Other agricultural products",10.577537131818,10.3374785932518,0.121819863013699
China,C156,2025,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",J,"Other agricultural products",10.549758291595,,0.120991156462585
China,C156,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",J,"Other agricultural products",10.549758291595,10.5625356232713,0.120991156462585
China,C156,2016,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",J,"Other agricultural products",10.7899483618234,9.83117378709632,0.123511805555556
China,C156,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",J,"Other agricultural products",10.5433604943809,10.6176794399409,0.120991156462585
China,C156,2012,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",J,"Other agricultural products",10.7862246885657,9.53500844646988,0.123511805555556
China,C156,2013,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",J,"Other agricultural products",10.7873785040191,9.27189802950151,0.123511805555556
